mode;RMSE_N_m;RMSE_E_m;RMSE_D_m;RMSE_3D_m
INS;1376.0945209189583;188.29895537939996;174.56954078595726;1399.8454027750247
INS+EKF;1.0553763066748372;1.0619683089248164;0.20988190283408628;1.51183539149886
